m	p	s	method	ARI	RI	recall	precision
m8	R	157	ancestree	0.896479180088	0.985074626866	1.0	0.825641025641
m8	R	30342	ancestree	0.804048909392	0.959183673469	1.0	0.704142011834
m8	R	383	ancestree	0.853611575118	0.975609756098	1.0	0.764872521246
m8	R	394	ancestree	0.791797706855	0.97012802276	1.0	0.676923076923
m8	R	905	ancestree	0.815348118542	0.972746331237	1.0	0.708955223881
m8	R	981	ancestree	0.937746687336	0.991960420532	1.0	0.890449438202
m8	R	9	ancestree	0.827879303017	0.974825174825	1.0	0.725888324873
m5	mS	0	clomial	0.651735929269	0.936134453782	1.0	0.518987341772
m5	mS	10	clomial	0.680544435548	0.917748917749	1.0	0.568181818182
m5	mS	12	clomial	0.615384615385	0.941520467836	1.0	0.473684210526
m5	mS	2	clomial	0.643008924777	0.883333333333	1.0	0.548387096774
m5	mS	3	clomial	0.592899387918	0.925253991292	1.0	0.457894736842
m5	mS	4	clomial	0.869522240527	0.971590909091	1.0	0.794520547945
m5	mS	5	clomial	0.611510791367	0.914285714286	1.0	0.485714285714
m5	mS	7	clomial	0.676102340773	0.917647058824	1.0	0.5625
m5	mS	8	clomial	0.709153464255	0.917997097242	1.0	0.606271777003
m5	mS	9	clomial	0.87323943662	0.972222222222	1.0	0.8
m5	S	17	clomial	0.928456514266	0.976744186047	1.0	0.892156862745
m5	S	23	clomial	0.697631873158	0.902857142857	1.0	0.604651162791
m5	S	25	clomial	0.702557200538	0.947692307692	0.92	0.605263157895
m5	S	31	clomial	0.670158726567	0.917647058824	0.861111111111	0.613861386139
m5	S	32	clomial	0.769108841141	0.926570048309	1.0	0.684647302905
m5	S	35	clomial	0.477395514185	0.867073170732	1.0	0.366279069767
m5	S	40	clomial	0.686050382865	0.92077294686	1.0	0.572916666667
m5	S	49	clomial	0.724910283381	0.945868945869	1.0	0.604166666667
m5	S	62	clomial	0.458132179124	0.834408602151	1.0	0.363636363636
m5	S	81	clomial	0.648432925514	0.907258064516	1.0	0.535353535354
m5	M	209	clomial	0.418340616762	0.826666666667	1.0	0.326219512195
m5	M	473	clomial	0.476154099566	0.872907153729	0.901869158879	0.381422924901
m5	M	512	clomial	0.548097498789	0.906567992599	1.0	0.419540229885
m5	M	534	clomial	0.942774566474	0.988636363636	1.0	0.903225806452
m5	M	545	clomial	0.607841794601	0.919806763285	1.0	0.477987421384
m5	M	565	clomial	0.739112401493	0.93781512605	1.0	0.63
m5	M	694	clomial	0.782826874826	0.953658536585	1.0	0.677966101695
m5	M	76	clomial	0.615602035048	0.909502262443	1.0	0.493670886076
m5	M	865	clomial	0.748424555689	0.932263814617	1.0	0.648148148148
m5	M	907	clomial	0.777900477779	0.948630136986	0.992932862191	0.678743961353
m5	R	1140	clomial	0.679575265459	0.912280701754	1.0	0.571428571429
m5	R	17	clomial	0.595107014722	0.88969521045	1.0	0.482993197279
m5	R	2155	clomial	0.541965445883	0.880319148936	1.0	0.427966101695
m5	R	247	clomial	0.54667355801	0.873403019744	0.988372093023	0.440414507772
m5	R	518	clomial	0.739518437447	0.93665158371	1.0	0.631578947368
m5	R	538	clomial	0.856499000808	0.96632996633	1.0	0.778761061947
m5	R	571	clomial	0.746376811594	0.952380952381	0.85	0.708333333333
m5	R	950	clomial	0.718670796959	0.961593172119	1.0	0.584615384615
m5	R	955	clomial	0.706694825766	0.943548387097	1.0	0.582089552239
m5	R	981	clomial	0.570324702677	0.872677595628	1.0	0.465596330275
m8	mS	0	clomial	0.487301436317	0.928163265306	1.0	0.348148148148
m8	mS	10	clomial	0.908055729971	0.97342192691	1.0	0.858823529412
m8	mS	12	clomial	0.469705046198	0.887411347518	1.0	0.348717948718
m8	mS	2	clomial	0.679012345679	0.931623931624	1.0	0.555555555556
m8	mS	3	clomial	0.49029004037	0.909289617486	1.0	0.359073359073
m8	mS	4	clomial	0.757862403829	0.957627118644	1.0	0.639423076923
m8	mS	5	clomial	0.521073417722	0.919306184012	1.0	0.385057471264
m8	mS	7	clomial	0.637531068766	0.934693877551	1.0	0.503105590062
m8	mS	8	clomial	0.566086065574	0.912087912088	1.0	0.435897435897
m8	mS	9	clomial	0.436265081308	0.895161290323	0.923076923077	0.324324324324
m8	S	0	clomial	0.331101759755	0.870673076923	1.0	0.229226361032
m8	S	12	clomial	0.415130940834	0.893650793651	1.0	0.294736842105
m8	S	23	clomial	0.641078364693	0.911158117398	0.973684210526	0.531609195402
m8	S	2	clomial	0.521875576888	0.908234126984	0.991666666667	0.392739273927
m8	S	31	clomial	0.536222071767	0.888163265306	1.0	0.417021276596
m8	S	35	clomial	0.325898590645	0.834234234234	1.0	0.235880398671
m8	S	37	clomial	0.624097040121	0.923138832998	1.0	0.494708994709
m8	S	54	clomial	0.626482956682	0.92132505176	1.0	0.498680738786
m8	S	5	clomial	0.519320734663	0.902306648575	1.0	0.391549295775
m8	S	69	clomial	0.554192711405	0.866071428571	1.0	0.451219512195
m8	M	172	clomial	0.213483146067	0.799107142857	1.0	0.150943396226
m8	M	19	clomial	0.64976179499	0.939902166317	0.851851851852	0.567901234568
m8	M	216	clomial	0.527834013518	0.903206291591	0.972727272727	0.405303030303
m8	M	239	clomial	0.586069651741	0.896153846154	1.0	0.467980295567
m8	M	241	clomial	0.515245795819	0.90275893261	0.931972789116	0.400584795322
m8	M	243	clomial	0.490597559208	0.900777489819	0.993506493506	0.364285714286
m8	M	35	clomial	0.432221954604	0.885576923077	0.981981981982	0.315942028986
m8	M	45	clomial	0.438808495171	0.86231884058	0.996563573883	0.330296127563
m8	M	76	clomial	0.607573149742	0.93028024607	0.994535519126	0.472727272727
m8	M	7	clomial	0.469133241723	0.902097902098	1.0	0.341692789969
m8	R	10046	clomial	0.509441824346	0.899099099099	0.867647058824	0.411627906977
m8	R	10157	clomial	0.342999500545	0.906567992599	1.0	0.229007633588
m8	R	1070	clomial	0.65639840693	0.915432098765	0.987692307692	0.543147208122
m8	R	157	clomial	0.507909668653	0.888059701493	1.0	0.387019230769
m8	R	30342	clomial	0.697365775186	0.929795918367	1.0	0.580487804878
m8	R	383	clomial	0.666984355255	0.932412577138	1.0	0.54
m8	R	394	clomial	0.63072128124	0.935988620199	1.0	0.494382022472
m8	R	905	clomial	0.670018728804	0.942697414396	1.0	0.536723163842
m8	R	981	clomial	0.501470324133	0.896310039167	0.96214511041	0.383165829146
m8	R	9	clomial	0.578905630452	0.917482517483	1.0	0.446875
m5	mS	0	sciclone	0.531545244594	0.899159663866	1.0	0.405940594059
m5	mS	10	sciclone	0.610455311973	0.891774891775	1.0	0.5
m5	mS	12	sciclone	0.615384615385	0.941520467836	1.0	0.473684210526
m5	mS	2	sciclone	0.643008924777	0.883333333333	1.0	0.548387096774
m5	mS	3	sciclone	0.587841186826	0.923802612482	1.0	0.453125
m5	mS	4	sciclone	0.893448136688	0.977272727273	1.0	0.828571428571
m5	mS	5	sciclone	0.626334519573	0.919047619048	1.0	0.5
m5	mS	7	sciclone	0.676102340773	0.917647058824	1.0	0.5625
m5	mS	8	sciclone	0.891227700889	0.973875181422	1.0	0.828571428571
m5	S	23	sciclone	0.697631873158	0.902857142857	1.0	0.604651162791
m5	S	25	sciclone	0.599118942731	0.913846153846	1.0	0.471698113208
m5	S	31	sciclone	0.258959645222	0.640336134454	1.0	0.251748251748
m5	S	32	sciclone	0.806021583386	0.940096618357	1.0	0.726872246696
m5	S	35	sciclone	0.499504459861	0.876829268293	1.0	0.384146341463
m5	S	40	sciclone	0.753961965135	0.942028985507	1.0	0.647058823529
m5	S	49	sciclone	0.414183698596	0.826210826211	1.0	0.322222222222
m5	S	62	sciclone	0.371804720405	0.78064516129	1.0	0.301369863014
m5	S	81	sciclone	0.637504187095	0.903225806452	1.0	0.524752475248
m5	M	209	sciclone	0.374194735873	0.799215686275	1.0	0.29476584022
m5	M	512	sciclone	0.545382579225	0.905642923219	1.0	0.417142857143
m5	M	534	sciclone	0.744680851064	0.939393939394	1.0	0.636363636364
m5	M	545	sciclone	0.313939693946	0.774879227053	1.0	0.245954692557
m5	M	565	sciclone	0.666358808589	0.914285714286	1.0	0.552631578947
m5	M	694	sciclone	0.72497698277	0.937804878049	1.0	0.610687022901
m5	M	76	sciclone	0.716247623072	0.940422322775	1.0	0.59693877551
m5	M	865	sciclone	0.678126930885	0.907308377897	1.0	0.573770491803
m5	R	1140	sciclone	0.679575265459	0.912280701754	1.0	0.571428571429
m5	R	17	sciclone	0.544116684723	0.867924528302	1.0	0.438271604938
m5	R	518	sciclone	0.848884192205	0.966817496229	1.0	0.765957446809
m5	R	538	sciclone	0.68251383914	0.912457912458	1.0	0.575163398693
m5	R	571	sciclone	0.716216216216	0.936507936508	1.0	0.6
m5	R	950	sciclone	0.162450066578	0.661450924609	1.0	0.13768115942
m5	R	955	sciclone	0.584211101797	0.907258064516	1.0	0.458823529412
m5	R	981	sciclone	0.489211953597	0.832786885246	1.0	0.398821218075
m8	mS	0	sciclone	0.287790697674	0.846530612245	1.0	0.2
m8	mS	10	sciclone	0.708205197097	0.901439645626	1.0	0.621276595745
m8	mS	2	sciclone	0.742101396032	0.948717948718	1.0	0.625
m8	mS	4	sciclone	0.513538419256	0.884745762712	1.0	0.394658753709
m8	M	239	sciclone	0.69383025368	0.932211538462	1.0	0.574018126888
m8	M	76	sciclone	0.673237268629	0.946343130554	1.0	0.538235294118
m8	R	30342	sciclone	0.692073902263	0.928163265306	1.0	0.574879227053
m5	mS	0	pyclone	0.699254862957	0.947899159664	1.0	0.569444444444
m5	mS	10	pyclone	0.719915125796	0.930735930736	1.0	0.609756097561
m5	mS	12	pyclone	0.615384615385	0.941520467836	1.0	0.473684210526
m5	mS	2	pyclone	0.770883054893	0.933333333333	1.0	0.68
m5	mS	3	pyclone	0.600619069425	0.927431059507	1.0	0.465240641711
m5	mS	4	pyclone	0.869522240527	0.971590909091	1.0	0.794520547945
m5	mS	5	pyclone	0.691525423729	0.938095238095	1.0	0.566666666667
m5	mS	7	pyclone	0.786005729664	0.951260504202	1.0	0.684782608696
m5	mS	8	pyclone	0.891227700889	0.973875181422	1.0	0.828571428571
m5	mS	9	pyclone	0.769230769231	0.944444444444	1.0	0.666666666667
m5	S	17	pyclone	0.627621001275	0.849894291755	1.0	0.561728395062
m5	S	23	pyclone	0.781509457519	0.934693877551	1.0	0.69465648855
m5	S	25	pyclone	0.832618025751	0.972307692308	1.0	0.735294117647
m5	S	31	pyclone	0.425017416905	0.783193277311	1.0	0.358208955224
m5	S	32	pyclone	0.874701328491	0.963285024155	1.0	0.812807881773
m5	S	35	pyclone	0.60128367208	0.914634146341	1.0	0.473684210526
m5	S	40	pyclone	0.78812691914	0.951690821256	1.0	0.6875
m5	S	49	pyclone	0.759630200308	0.954415954416	1.0	0.644444444444
m5	S	62	pyclone	0.450329936706	0.830107526882	1.0	0.357723577236
m5	S	81	pyclone	0.659627561683	0.911290322581	1.0	0.546391752577
m5	M	209	pyclone	0.418340616762	0.826666666667	1.0	0.326219512195
m5	M	473	pyclone	0.799016577147	0.963850837139	1.0	0.692556634304
m5	M	512	pyclone	0.559170615018	0.91026827012	1.0	0.429411764706
m5	M	534	pyclone	0.673561151079	0.916666666667	1.0	0.56
m5	M	545	pyclone	0.586437457267	0.913043478261	1.0	0.457831325301
m5	M	565	pyclone	0.744744744745	0.939495798319	1.0	0.636363636364
m5	M	694	pyclone	0.755290287575	0.946341463415	1.0	0.645161290323
m5	M	76	pyclone	0.834087122114	0.969079939668	1.0	0.740506329114
m5	M	865	pyclone	0.781637717122	0.942959001783	1.0	0.686274509804
m5	M	907	pyclone	0.812545304058	0.957762557078	1.0	0.718274111675
m5	R	1140	pyclone	0.748563026333	0.93567251462	1.0	0.645161290323
m5	R	17	pyclone	0.753678189368	0.943396226415	1.0	0.645454545455
m5	R	2155	pyclone	0.40204677645	0.808510638298	1.0	0.318611987382
m5	R	247	pyclone	0.637678380236	0.908246225319	1.0	0.521212121212
m5	R	518	pyclone	0.739518437447	0.93665158371	1.0	0.631578947368
m5	R	538	pyclone	0.841363102233	0.96228956229	1.0	0.758620689655
m5	R	571	pyclone	0.861035422343	0.973015873016	1.0	0.779220779221
m5	R	950	pyclone	0.79532882606	0.97439544808	1.0	0.678571428571
m5	R	955	pyclone	0.875458243359	0.979838709677	1.0	0.795918367347
m5	R	981	pyclone	0.570324702677	0.872677595628	1.0	0.465596330275
m8	mS	0	pyclone	0.444713389812	0.915918367347	1.0	0.313333333333
m8	mS	10	pyclone	0.859519696064	0.957918050941	1.0	0.79347826087
m8	mS	12	pyclone	0.589825457642	0.927304964539	1.0	0.453333333333
m8	mS	2	pyclone	0.441877981421	0.837606837607	1.0	0.344827586207
m8	mS	3	pyclone	0.580176512093	0.934972677596	1.0	0.438679245283
m8	mS	4	pyclone	0.765618965295	0.959322033898	1.0	0.648780487805
m8	mS	5	pyclone	0.618066746071	0.94419306184	1.0	0.475177304965
m8	mS	7	pyclone	0.712327214129	0.952653061224	1.0	0.58273381295
m8	mS	8	pyclone	0.58398267597	0.917748917749	1.0	0.452328159645
m8	mS	9	pyclone	0.178452344866	0.691532258065	1.0	0.145251396648
m8	S	0	pyclone	0.396017699115	0.899038461538	1.0	0.275862068966
m8	S	12	pyclone	0.332953249715	0.855555555556	1.0	0.235294117647
m8	S	23	pyclone	0.69308005871	0.926493918562	1.0	0.577507598784
m8	S	2	pyclone	0.502369668246	0.900793650794	1.0	0.375
m8	S	31	pyclone	0.589449207964	0.907755102041	1.0	0.464454976303
m8	S	35	pyclone	0.319062304395	0.82990990991	1.0	0.231270358306
m8	S	37	pyclone	0.617454492903	0.921126760563	1.0	0.488250652742
m8	S	54	pyclone	0.626482956682	0.92132505176	1.0	0.498680738786
m8	S	5	pyclone	0.645196985047	0.939393939394	1.0	0.509157509158
m8	S	69	pyclone	0.534215297831	0.856646825397	1.0	0.434442270059
m8	M	172	pyclone	0.216125419933	0.801587301587	1.0	0.152542372881
m8	M	19	pyclone	0.478340965314	0.869322152341	1.0	0.366101694915
m8	M	216	pyclone	0.662437955048	0.9407138536	1.0	0.528846153846
m8	M	239	pyclone	0.44132556556	0.829326923077	1.0	0.348623853211
m8	M	241	pyclone	0.589378440418	0.920850293985	1.0	0.45652173913
m8	M	243	pyclone	0.259219958519	0.768233987412	1.0	0.197435897436
m8	M	35	pyclone	0.305817015618	0.815384615385	1.0	0.224242424242
m8	M	45	pyclone	0.536713587648	0.902057035998	1.0	0.40985915493
m8	M	76	pyclone	0.756797234842	0.963773069036	1.0	0.63321799308
m8	M	7	pyclone	0.496838185729	0.911421911422	1.0	0.364548494983
m8	R	10046	pyclone	0.583711442125	0.912072072072	1.0	0.455357142857
m8	R	10157	pyclone	0.275273422256	0.876040703053	1.0	0.182926829268
m8	R	1070	pyclone	0.728273263596	0.937345679012	1.0	0.61553030303
m8	R	157	pyclone	0.607732764139	0.922300263389	1.0	0.476331360947
m8	R	30342	pyclone	0.676550395218	0.923265306122	1.0	0.558685446009
m8	R	383	pyclone	0.583298178162	0.906259183074	1.0	0.458404074703
m8	R	394	pyclone	0.671664904993	0.945945945946	1.0	0.536585365854
m8	R	905	pyclone	0.478310672198	0.881900768693	1.0	0.359848484848
m8	R	981	pyclone	0.760751297942	0.963100391672	1.0	0.639112903226
m8	R	9	pyclone	0.692307692308	0.947785547786	1.0	0.560784313725
m5	mS	0	pyclone_binomial	0.713871154962	0.951260504202	1.0	0.585714285714
m5	mS	10	pyclone_binomial	0.842696629213	0.965367965368	1.0	0.757575757576
m5	mS	12	pyclone_binomial	0.767726161369	0.970760233918	1.0	0.642857142857
m5	mS	2	pyclone_binomial	0.4921875	0.891666666667	0.470588235294	0.666666666667
m5	mS	3	pyclone_binomial	0.761936325494	0.964441219158	1.0	0.639705882353
m5	mS	4	pyclone_binomial	0.901646006909	0.979166666667	1.0	0.840579710145
m5	mS	5	pyclone_binomial	0.754336425978	0.953968253968	1.0	0.6375
m5	mS	7	pyclone_binomial	0.786005729664	0.951260504202	1.0	0.684782608696
m5	mS	8	pyclone_binomial	0.733896470894	0.926705370102	1.0	0.632727272727
m5	mS	9	pyclone_binomial	1.0	1.0	1.0	1.0
m5	S	17	pyclone_binomial	0.953731781278	0.985200845666	1.0	0.928571428571
m5	S	23	pyclone_binomial	0.781509457519	0.934693877551	1.0	0.69465648855
m5	S	25	pyclone_binomial	0.801664355062	0.966153846154	1.0	0.694444444444
m5	S	31	pyclone_binomial	0.810552649534	0.952941176471	1.0	0.72
m5	S	32	pyclone_binomial	0.848095929552	0.954589371981	1.0	0.778301886792
m5	S	35	pyclone_binomial	0.636788753667	0.925609756098	1.0	0.508064516129
m5	S	40	pyclone_binomial	0.781112737921	0.949758454106	1.0	0.679012345679
m5	S	49	pyclone_binomial	0.810201874549	0.965811965812	1.0	0.707317073171
m5	S	62	pyclone_binomial	0.600945825041	0.898924731183	1.0	0.483516483516
m5	S	81	pyclone_binomial	0.803521912924	0.95564516129	1.0	0.706666666667
m5	M	209	pyclone_binomial	0.461945678663	0.850196078431	1.0	0.359060402685
m5	M	473	pyclone_binomial	0.689426669111	0.937214611872	1.0	0.564643799472
m5	M	512	pyclone_binomial	0.62020505286	0.928769657724	1.0	0.486666666667
m5	M	534	pyclone_binomial	0.673561151079	0.916666666667	1.0	0.56
m5	M	545	pyclone_binomial	0.637203353702	0.928502415459	1.0	0.506666666667
m5	M	565	pyclone_binomial	0.744744744745	0.939495798319	1.0	0.636363636364
m5	M	694	pyclone_binomial	0.864279265724	0.973170731707	1.0	0.78431372549
m5	M	76	pyclone_binomial	0.877758492437	0.978129713424	1.0	0.801369863014
m5	M	865	pyclone_binomial	0.799021606196	0.948306595365	1.0	0.707070707071
m5	M	907	pyclone_binomial	0.79413730497	0.952815829528	1.0	0.695331695332
m5	R	1140	pyclone_binomial	0.920254935489	0.982456140351	1.0	0.869565217391
m5	R	17	pyclone_binomial	0.818551572787	0.960812772134	1.0	0.724489795918
m5	R	2155	pyclone_binomial	0.603775425906	0.904255319149	1.0	0.483253588517
m5	R	247	pyclone_binomial	0.747463501356	0.943089430894	1.0	0.637037037037
m5	R	518	pyclone_binomial	0.899512828841	0.978883861237	1.0	0.837209302326
m5	R	538	pyclone_binomial	0.853948791922	0.965656565657	1.0	0.775330396476
m5	R	571	pyclone_binomial	0.922318125771	0.985714285714	1.0	0.869565217391
m5	R	950	pyclone_binomial	0.768267223382	0.97012802276	1.0	0.64406779661
m5	R	955	pyclone_binomial	0.875458243359	0.979838709677	1.0	0.795918367347
m5	R	981	pyclone_binomial	0.570324702677	0.872677595628	1.0	0.465596330275
m8	mS	0	pyclone_binomial	0.556064804946	0.944489795918	1.0	0.408695652174
m8	mS	10	pyclone_binomial	0.89383251033	0.968992248062	1.0	0.83908045977
m8	mS	12	pyclone_binomial	0.515217114479	0.904255319149	1.0	0.386363636364
m8	mS	2	pyclone_binomial	0.765178123432	0.954415954416	1.0	0.652173913043
m8	mS	3	pyclone_binomial	0.617212345709	0.943715846995	1.0	0.474489795918
m8	mS	4	pyclone_binomial	0.773505335504	0.961016949153	1.0	0.658415841584
m8	mS	5	pyclone_binomial	0.631879942573	0.947209653092	1.0	0.489051094891
m8	mS	7	pyclone_binomial	0.719835331787	0.954285714286	1.0	0.591240875912
m8	mS	8	pyclone_binomial	0.66539806797	0.940392940393	1.0	0.532637075718
m8	mS	9	pyclone_binomial	0.523121658381	0.917338709677	1.0	0.388059701493
m8	S	0	pyclone_binomial	0.45297029703	0.918269230769	1.0	0.32
m8	S	12	pyclone_binomial	0.479371316306	0.915873015873	1.0	0.345679012346
m8	S	23	pyclone_binomial	0.56863908025	0.881015335801	1.0	0.457831325301
m8	S	2	pyclone_binomial	0.659040590406	0.945436507937	1.0	0.521739130435
m8	S	31	pyclone_binomial	0.651089854163	0.927346938776	1.0	0.524064171123
m8	S	35	pyclone_binomial	0.418335655219	0.881801801802	1.0	0.302127659574
m8	S	37	pyclone_binomial	0.741496362754	0.954124748491	0.994652406417	0.622073578595
m8	S	54	pyclone_binomial	0.651466027629	0.928778467909	1.0	0.523545706371
m8	S	5	pyclone_binomial	0.625604781496	0.934418815016	1.0	0.489436619718
m8	S	69	pyclone_binomial	0.575172024703	0.875496031746	1.0	0.469344608879
m8	M	172	pyclone_binomial	0.240375871476	0.822420634921	1.0	0.167441860465
m8	M	19	pyclone_binomial	0.478340965314	0.869322152341	1.0	0.366101694915
m8	M	216	pyclone_binomial	0.657593835446	0.939503932244	1.0	0.52380952381
m8	M	239	pyclone_binomial	0.738207289045	0.944711538462	1.0	0.622950819672
m8	M	241	pyclone_binomial	0.738092235736	0.957937584803	1.0	0.6125
m8	M	243	pyclone_binomial	0.533425462083	0.914476119956	1.0	0.4
m8	M	35	pyclone_binomial	0.514748081155	0.913461538462	1.0	0.381443298969
m8	M	45	pyclone_binomial	0.503862603878	0.889901823282	1.0	0.38188976378
m8	M	76	pyclone_binomial	0.841799560254	0.978468899522	1.0	0.743902439024
m8	M	7	pyclone_binomial	0.629312663704	0.946386946387	1.0	0.486607142857
m8	R	10046	pyclone_binomial	0.743682568627	0.955315315315	1.0	0.621951219512
m8	R	10157	pyclone_binomial	0.433785069826	0.934320074006	1.0	0.29702970297
m8	R	1070	pyclone_binomial	0.751880653596	0.944135802469	1.0	0.642292490119
m8	R	157	pyclone_binomial	0.536973047685	0.899034240562	1.0	0.411764705882
m8	R	30342	pyclone_binomial	0.750802320886	0.945306122449	1.0	0.639784946237
m8	R	383	pyclone_binomial	0.771022518221	0.958565971202	1.0	0.656934306569
m8	R	394	pyclone_binomial	0.489859832716	0.891891891892	1.0	0.366666666667
m8	R	905	pyclone_binomial	0.60885863411	0.926624737945	1.0	0.475
m8	R	981	pyclone_binomial	0.813379575659	0.972789115646	1.0	0.706013363029
m8	R	9	pyclone_binomial	0.574401008827	0.916083916084	1.0	0.442724458204
