#sample,chr,startpos,endpos,BAF,pval,LogR,ntot,nMaj1_A,nMin1_A,frac1_A,nMaj2_A,nMin2_A,frac2_A,SDfrac_A,SDfrac_A_BS,frac1_A_0.025,frac1_A_0.975,frac1_A_corrected_for_purity,frac2_A_corrected_for_purity,,
A22-a,5,175058851,180704307,0.509458234,1,0.418932754,3.916945283,2,2,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,6,160271,2565250,0.830829245,1,-1.066011531,1.078659239,1,0,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,6,2568119,5473531,0.899154597,1,-0.435608221,1.956415345,2,0,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,6,5473796,11331129,0.643324673,1,-0.060467477,2.668454147,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,6,11445378,12580740,0.5080081,1,-0.41309017,1.981623312,1,1,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,6,12622739,14038231,0.640959946,1,0.092262443,3.022165556,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,6,14044568,18344412,0.503186314,1,-0.417953655,1.973274979,1,1,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,6,18345635,21479514,0.643396908,1,0.089741691,3.016018588,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,6,21482225,24862135,0.901872026,1,-0.42628866,1.977325946,2,0,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,6,24864254,28112562,0.640000914,1,0.089467267,3.01535004,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,6,28112713,29842053,0.505449276,1,-0.40840362,1.9896946,1,1,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,6,29842117,32453853,0.637621167,1,0.074398163,2.978833456,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,6,32497870,32655548,0.721396849,1,0.248121685,3.42387607,3,1,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,6,32657020,37903273,0.640174764,1,0.079419699,2.990959669,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,6,37903660,41039100,0.838242483,1,-1.187950491,0.975774362,1,0,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,6,41043148,46004698,0.639492437,1,0.088556767,3.013132805,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,6,46007845,51873614,0.502903402,1,0.455238289,4.029482637,2,2,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,6,51895712,55133342,0.647018649,1,0.052452217,2.926329995,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,6,55134247,55274942,0.496965403,1,0.433803346,3.962697938,2,2,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,6,55275755,57301152,0.650656694,1,0.03979179,2.896402499,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,6,57318295,58075817,0.79146163,6.45E-86,-0.073141077,2.64075108,2,0,0.65678543,2,1,0.34321457,0.01056816,0.010925773,0.634677524,0.677039617,0.525428344,0.274571656,,
A22-a,6,58076042,58771458,0.652149487,1,0.07208595,2.973264004,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,6,58771788,66454656,0.782508808,1.10868330926776e-320,-0.208723996,2.359122703,2,0,0.624267297,2,1,0.375732703,0.00440497,0.004417377,0.615202455,0.632624026,0.499413838,0.300586162,,
A22-a,6,66454760,68076095,0.70897757,0,-0.089302631,2.605774951,2,0,0.326117239,2,1,0.673882761,0.006322913,0.006352089,0.312854017,0.337787867,0.260893791,0.539106209,,
A22-a,6,68076933,86234384,0.758400259,0,-0.183744615,2.409040018,2,0,0.532883727,2,1,0.467116273,0.002957954,0.002924948,0.527005357,0.53830603,0.426306982,0.373693018,,
A22-a,6,86236616,104693827,0.888587528,5.37E-42,-0.50943864,1.821369766,1,0,0.259619085,2,0,0.740380915,0.017055299,0.017391622,0.226455926,0.292763599,0.207695268,0.592304732,,
A22-a,6,104694332,105352312,0.674375031,1.08E-28,0.027854842,2.86842474,2,0,0.163315617,2,1,0.836684383,0.013060024,0.013101483,0.137968674,0.189356344,0.130652494,0.669347506,,
A22-a,6,105353475,120641833,0.903127799,1,-0.344246155,2.102865416,2,0,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,6,120652450,120926954,0.650584832,1,1.043022513,6.307016119,4,2,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,6,120929573,122352141,0.510381873,4.65E-12,0.514941236,4.220815633,2,2,0.904603388,3,2,0.095396612,0.013969992,0.014631351,0.875619021,0.931922441,0.72368271,0.07631729,,
A22-a,6,122352585,128540940,0.649251534,1,0.12868201,3.112185413,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,6,128547177,138818837,0.90130169,1,-0.383534897,2.032965586,2,0,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,6,138820724,145062594,0.662484578,2.25E-75,0.09469032,3.028096209,2,1,0.796953181,3,1,0.203046819,0.011436026,0.011488855,0.773480205,0.820605481,0.637562545,0.162437455,,
A22-a,6,145145848,146083967,0.533384691,6.11E-33,-0.359867613,2.074844616,1,1,0.821206229,2,1,0.178793771,0.015255286,0.015676184,0.789541925,0.85156102,0.656964983,0.143035017,,
A22-a,6,146086192,171050238,0.635336173,1,-0.036575782,2.721345174,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,7,35489,43904219,0.636415885,1,0.052982357,2.927588912,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,7,43905719,159031548,0.502973162,1,0.416074028,3.908203697,2,2,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,7,159032892,159122682,0.624714186,2.25E-11,0.865847495,5.520467671,3,2,0.504906169,4,2,0.495093831,0.065518437,0.066972833,0.366098799,0.630975433,0.403924935,0.396075065,,
A22-a,8,139793,47154177,0.898515341,1,-0.439967095,1.948234292,2,0,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,8,47157749,47212791,0.507936319,1,0.539898366,4.303173629,2,2,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,8,47216236,47378516,0.888665412,0.195865136,-0.40782851,1.990686877,2,0,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,8,47378797,48687774,0.509859105,1,0.443428985,3.99256576,2,2,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,8,48701329,49469523,0.707235579,1,1.164836342,6.906638745,4,2,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,8,49481503,55924884,0.633316157,1,0.063053362,2.951592455,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,8,55926304,56313943,0.808656347,1,1.816068087,11.13161114,9,2,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,8,56316340,125389873,0.636289082,1,0.057058975,2.937285067,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,8,125390894,126896886,0.709207425,1,1.170059208,6.933497286,4,2,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,5 -> 4,
A22-a,8,126900630,127541678,0.618447669,2.56E-17,0.141955513,3.145563282,2,1,0.861664704,2,2,0.138335296,0.016354902,0.015789508,0.830341357,0.891683613,0.689331763,0.110668237,,
A22-a,8,127580690,129124831,0.694078466,1,1.075179495,6.460421991,4,2,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,8,129131491,132942751,0.635232402,1,0.033692397,2.882077851,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,8,132943652,133326153,0.897545375,1,-0.487532272,1.874996597,2,0,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,8,133329296,139370480,0.636800932,1,0.040075246,2.897069679,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,8,139374026,140665076,0.897684818,1,-0.478367274,1.88880266,2,0,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,8,140687654,141113716,0.638576535,1,-0.009869734,2.781512626,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,8,141119151,146300622,0.89538221,1,-0.489418641,1.86714419,2,0,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,9,10469,141033723,0.502085364,1,0.41249618,3.897287515,2,2,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,9,141035407,141099663,0.836257985,0.204812015,0.050310656,2.921249169,2,0,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,10,77582,28544793,0.894752402,1,-0.462875406,1.897481336,2,0,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,10,28560610,31936553,0.628504463,4.99E-25,0.054394224,2.930943908,1,1,0.135572421,2,1,0.864427579,0.012501987,0.012342077,0.109824145,0.159570521,0.108457937,0.691542063,,
A22-a,10,31937548,34247084,0.896520607,1,-0.447922981,1.922448046,2,0,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,10,34247385,34498398,0.60803681,0.045826863,0.177112244,3.23546754,2,1,0.799386153,2,2,0.200613847,0.051311178,0.050234074,0.706555103,0.896731,0.639508922,0.160491078,,
A22-a,10,34512759,34894899,0.892476768,1,-0.693669166,1.583112404,2,0,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,10,34958841,35792573,0.633972456,1,0.005672656,2.817045042,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,10,35793263,37165771,0.502052835,1,0.418893286,3.916824477,2,2,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,10,37169295,38021043,0.640243818,1,0.068856056,2.965499051,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,10,38021143,66692350,0.503426919,1,0.388403508,3.824480375,2,2,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,10,66694248,79997370,0.650707304,1,0.126686264,3.107193367,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,10,79998124,106684523,0.502316303,1,-0.303281978,2.17780179,1,1,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,10,106685758,109079688,0.81158506,1.76E-11,-1.19062497,0.948108665,0,0,0.174816463,1,0,0.825183537,0.022652127,0.022348674,0.130608546,0.21866283,0.13985317,0.66014683,,
A22-a,10,109080262,135498976,0.506187003,1,-0.407467271,1.991310348,1,1,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,11,131128,30327162,0.640319817,1,0.076970183,2.985039204,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,11,30329232,30683687,0.897570244,1,-0.451074309,1.929172292,2,0,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,11,30685685,49210524,0.642372233,1,0.098118458,3.036487245,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,11,49214048,50778214,0.802452885,1,0.878562423,5.573753501,5,1,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,11,50778501,57446272,0.64699918,1,0.124435616,3.101572,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,11,57448032,129624427,0.501312515,1,-0.409951837,1.987025323,1,1,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,11,129625118,134944160,0.640313913,1,0.073990977,2.977852014,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,12,75337,32459382,0.897128867,1,-0.440193219,1.93545658,2,0,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,12,32495246,32778913,0.539303084,3.05E-16,0.359469068,3.738633411,2,1,0.327875124,2,2,0.672124876,0.035114705,0.035357898,0.257798185,0.395791742,0.262300099,0.537699901,,
A22-a,12,32779690,34828307,0.898737397,1,-0.382611778,2.034586193,2,0,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,12,37857819,71918578,0.640970596,1,0.083722437,3.00138373,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,12,71921663,104010020,0.503526194,1,0.433718008,3.962434027,2,2,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,12,104010660,106096157,0.645988437,1,0.085027363,3.004551269,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,12,106097597,106409695,0.517447617,2.15E-08,0.41523393,3.905638085,2,1,0.151699616,2,2,0.848300384,0.025510881,0.025297275,0.100578003,0.197473785,0.121359693,0.678640307,,
A22-a,12,106438975,108949283,0.648394615,1,0.094376136,3.02732818,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,12,108949557,110993791,0.506010151,1,0.446262812,4.001397002,2,2,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,12,110998213,126158135,0.634674837,1,0.078104929,2.987780629,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,12,126158657,129210149,0.503276114,1,-0.43523774,1.943832971,1,1,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,12,129211019,129795604,0.632290017,0.000144089,-0.039152604,2.715598418,1,1,0.100946255,2,1,0.899053745,0.025665333,0.026227113,0.049890357,0.153500192,0.080757004,0.719242996,,
A22-a,12,129863579,130358919,0.500341133,1,-0.450497993,1.918129973,1,1,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,12,130361719,133839206,0.645348496,1,0.043192423,2.904415343,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,13,19020917,31774060,0.502002941,1,-0.397035333,2.009382621,1,1,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,13,31775774,49663440,0.835187613,1,-1.176762302,0.980772105,1,0,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,13,49663915,71883936,0.501369277,1,-0.398510585,2.006818957,1,1,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,13,71885336,74356683,0.642000825,1,0.091798959,3.021034523,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,13,74388087,74865635,0.502422183,1,-0.420974971,1.968102944,1,1,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,13,74866723,78789286,0.644146721,1,0.090240983,3.017235282,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,13,78789519,115109852,0.728370909,1,0.487059177,4.130474768,3,1,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,14,19083154,107289436,0.64002022,1,0.078578976,2.988926514,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,15,20001861,24670886,0.522477573,3.80E-32,0.468073318,4.069950201,2,2,0.788227103,3,2,0.211772897,0.018441759,0.018868523,0.750508762,0.821796076,0.630581682,0.169418318,,
A22-a,15,24671051,31339049,0.651308969,1,0.185455012,3.257125579,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,15,31339151,33464534,0.526964862,3.57E-41,-0.260868008,2.257665242,1,1,0.857547915,2,1,0.142452085,0.010865339,0.010748363,0.834044448,0.877230807,0.686038332,0.113961668,,
A22-a,15,33478072,34037447,0.851226064,0.000109836,-0.966563589,1.191245471,1,0,0.821989536,2,0,0.178010464,0.051103047,0.050866594,0.724560505,0.92360191,0.657591629,0.142408371,,
A22-a,15,34038737,102505693,0.534689237,0,-0.30243435,2.179374949,1,1,0.813698801,2,1,0.186301199,0.002159836,0.002026748,0.809525868,0.817425135,0.650959041,0.149040959,,
A22-a,16,60816,28863923,0.937641276,1,0.424548806,3.934168907,4,0,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,16,28863946,28864106,0.087931781,0.058603647,0.220505649,3.349498849,0,3,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,16,28864130,32241590,0.932871919,1,0.433192379,3.960808859,3,0,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,16,32257485,32641092,0.478455274,0.658171724,0.692420637,4.838667534,2,2,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,16,32826951,51214662,0.899191209,1,0.088902585,3.013974769,2,0,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,16,51237688,90292766,0.83564387,1,-1.135959145,1.01646281,1,0,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,17,828,2332777,0.504282607,1,-0.437596503,1.939842297,1,1,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,17,2339198,2665633,0.709188647,0.042898554,0.434949092,3.966242684,2,1,0.202409534,3,1,0.797590466,0.093131476,0.086518881,0.03503112,0.367533153,0.161927627,0.638072373,,
A22-a,17,2666160,7555668,0.922171571,1,0.055945125,2.934633075,3,0,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,17,7579801,8280009,0.83126164,1,-1.163503309,0.986249497,1,0,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,17,8283379,17234181,0.64172754,1,0.059646005,2.943452493,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,17,17245906,19777035,0.901623308,1,-0.361819965,2.071363888,2,0,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,17,19799630,79998834,0.640623831,1,0.077112868,2.985383797,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,18,12007,40231502,0.502031464,1,-0.403944098,1.997399279,1,1,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,18,40233434,43609182,0.839112208,1,-1.169676472,0.992542543,1,0,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,18,43614685,78002730,0.501442372,1,-0.411646273,1.984107233,1,1,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,19,107958,59118148,0.50190372,1,-0.407427525,1.991378956,1,1,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,20,68749,29425717,0.838019167,1,-1.054465696,1.091335741,1,0,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,20,29429945,62955706,0.616735784,0,0.125816717,3.105020489,2,1,0.851568522,2,2,0.148431478,0.002852749,0.002843663,0.846199655,0.857218158,0.681254818,0.118745182,,
A22-a,21,9412503,18817528,0.630651551,5.63E-15,-0.250364588,2.277808051,1,1,0.116020292,2,1,0.883979708,0.014285892,0.014082513,0.087019119,0.14376766,0.092816234,0.707183766,,
A22-a,21,18820756,25431181,0.899890529,1,-0.447216888,1.940599713,2,0,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,21,25439649,39852079,0.633015396,1,0.052908143,2.927412648,2,1,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,21,39853336,41608372,0.500423995,1,0.463930887,4.056850163,2,2,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,21,41610796,41787939,0.887627644,0.192646056,-0.401168686,2.002206372,2,0,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,21,41789960,42251261,0.50796546,1,0.450771333,4.015483012,2,2,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
A22-a,21,42261858,45079245,0.918488011,8.54E-13,-0.143533247,2.506988517,2,0,0.438167111,3,0,0.561832889,0.05330755,0.053712578,0.332876777,0.548785921,0.350533689,0.449466311,,
A22-a,21,45082365,48101335,0.595985755,1,0.696041816,4.85208193,3,2,1,NA,NA,NA,NA,NA,NA,NA,0.8,NA,,
