method	pattern	instance	sample	character	width
TRUE	M	473	7	2	0.068416
TRUE	M	473	7	3	0.0
TRUE	M	473	7	4	0.0
TRUE	M	473	7	5	0.033925
TRUE	M	473	7	6	0.0
TRUE	M	473	7	7	0.0
TRUE	M	473	7	8	0.0
TRUE	M	473	7	9	0.0
TRUE	M	473	7	10	0.0
TRUE	M	473	7	11	0.0
TRUE	M	473	7	12	0.0
TRUE	M	473	7	13	0.0
TRUE	M	473	7	14	0.0
TRUE	M	473	7	15	0.0
TRUE	M	473	7	16	0.207552
TRUE	M	473	7	17	0.0
TRUE	M	473	7	18	0.0
TRUE	M	473	7	19	0.0
TRUE	M	473	7	20	0.0
TRUE	M	473	7	21	0.0
TRUE	M	512	0	0	0.21664
TRUE	M	512	0	1	0.1294672
TRUE	M	512	0	2	0.0
TRUE	M	512	0	3	0.091146
TRUE	M	512	0	4	0.0
TRUE	M	512	0	5	0.0
TRUE	M	512	0	6	0.0
TRUE	M	512	0	7	0.0
TRUE	M	512	0	8	0.0
TRUE	M	512	0	9	0.0
TRUE	M	512	0	10	0.0
TRUE	M	512	0	11	0.0
TRUE	M	512	0	12	0.0
TRUE	M	512	0	13	0.0
TRUE	M	512	0	14	0.0
TRUE	M	512	0	15	0.0
TRUE	M	512	0	16	0.0
TRUE	M	512	1	0	0.214706
TRUE	M	512	1	1	0.0
TRUE	M	512	1	2	0.0
TRUE	M	512	1	3	0.094445
TRUE	M	512	1	4	0.147992
TRUE	M	512	1	5	0.0
TRUE	M	512	1	6	0.0
TRUE	M	512	1	7	0.0
TRUE	M	512	1	8	0.0
TRUE	M	512	1	9	0.0
TRUE	M	512	1	10	0.0
TRUE	M	512	1	11	0.0
TRUE	M	512	1	12	0.0
TRUE	M	512	1	13	0.0
TRUE	M	512	1	14	0.0
TRUE	M	512	1	15	0.0
TRUE	M	512	1	16	0.0
TRUE	M	512	2	0	0.210185
TRUE	M	512	2	1	0.218196
TRUE	M	512	2	2	0.155453
TRUE	M	512	2	3	0.0
TRUE	M	512	2	4	0.0
TRUE	M	512	2	5	0.217823
TRUE	M	512	2	6	0.0920679
TRUE	M	512	2	7	0.204824
TRUE	M	512	2	8	0.204737
TRUE	M	512	2	9	0.0
TRUE	M	512	2	10	0.0
TRUE	M	512	2	11	0.102332
TRUE	M	512	2	12	0.119254
TRUE	M	512	2	13	0.067909
TRUE	M	512	2	14	0.0
TRUE	M	512	2	15	0.093113
TRUE	M	512	2	16	0.0
TRUE	M	512	3	0	0.213242
TRUE	M	512	3	1	0.0
TRUE	M	512	3	2	0.217178
TRUE	M	512	3	3	0.0
TRUE	M	512	3	4	0.0
TRUE	M	512	3	5	0.0
TRUE	M	512	3	6	0.0
TRUE	M	512	3	7	0.0
TRUE	M	512	3	8	0.0
TRUE	M	512	3	9	0.11313
TRUE	M	512	3	10	0.079687
TRUE	M	512	3	11	0.0
TRUE	M	512	3	12	0.0
TRUE	M	512	3	13	0.0
TRUE	M	512	3	14	0.0
TRUE	M	512	3	15	0.0
TRUE	M	512	3	16	0.108181
TRUE	M	512	4	0	0.201674
TRUE	M	512	4	1	0.203819
TRUE	M	512	4	2	0.0
TRUE	M	512	4	3	0.0
TRUE	M	512	4	4	0.0
TRUE	M	512	4	5	0.184498
TRUE	M	512	4	6	0.0
TRUE	M	512	4	7	0.0
TRUE	M	512	4	8	0.0
TRUE	M	512	4	9	0.0
TRUE	M	512	4	10	0.0
TRUE	M	512	4	11	0.0
TRUE	M	512	4	12	0.0
TRUE	M	512	4	13	0.0
TRUE	M	512	4	14	0.0
TRUE	M	512	4	15	0.09493
TRUE	M	512	4	16	0.0
TRUE	M	512	5	0	0.218874
TRUE	M	512	5	1	0.0
TRUE	M	512	5	2	0.207594
TRUE	M	512	5	3	0.0
TRUE	M	512	5	4	0.0
TRUE	M	512	5	5	0.0
TRUE	M	512	5	6	0.0
TRUE	M	512	5	7	0.0
TRUE	M	512	5	8	0.0
TRUE	M	512	5	9	0.0
TRUE	M	512	5	10	0.0
TRUE	M	512	5	11	0.0
TRUE	M	512	5	12	0.0
TRUE	M	512	5	13	0.096181
TRUE	M	512	5	14	0.0537268
TRUE	M	512	5	15	0.0
TRUE	M	512	5	16	0.0
TRUE	M	534	0	0	0.210745
TRUE	M	534	0	1	0.208679
TRUE	M	534	0	2	0.07965
TRUE	M	534	0	3	0.0
TRUE	M	534	0	4	0.0
TRUE	M	534	0	5	0.0
TRUE	M	534	0	6	0.0
TRUE	M	534	0	7	0.0
TRUE	M	534	0	8	0.0
TRUE	M	534	0	9	0.0
TRUE	M	534	0	10	0.0
TRUE	M	534	0	11	0.0
TRUE	M	534	1	0	0.197549
TRUE	M	534	1	1	0.204782
TRUE	M	534	1	2	0.081258
TRUE	M	534	1	3	0.0
TRUE	M	534	1	4	0.0
TRUE	M	534	1	5	0.0
TRUE	M	534	1	6	0.0
TRUE	M	534	1	7	0.0
TRUE	M	534	1	8	0.0
TRUE	M	534	1	9	0.0
TRUE	M	534	1	10	0.0
TRUE	M	534	1	11	0.0
TRUE	M	534	2	0	0.221317
TRUE	M	534	2	1	0.215928
TRUE	M	534	2	2	0.0
TRUE	M	534	2	3	0.176619
TRUE	M	534	2	4	0.0
TRUE	M	534	2	5	0.0
TRUE	M	534	2	6	0.0
TRUE	M	534	2	7	0.0
TRUE	M	534	2	8	0.0
TRUE	M	534	2	9	0.0
TRUE	M	534	2	10	0.072051
TRUE	M	534	2	11	0.149084
TRUE	M	534	3	0	0.205287
TRUE	M	534	3	1	0.0
TRUE	M	534	3	2	0.0
TRUE	M	534	3	3	0.0
TRUE	M	534	3	4	0.1155254
TRUE	M	534	3	5	0.206329
TRUE	M	534	3	6	0.0
TRUE	M	534	3	7	0.0
TRUE	M	534	3	8	0.094992
TRUE	M	534	3	9	0.0
TRUE	M	534	3	10	0.087308
TRUE	M	534	3	11	0.0
TRUE	M	534	4	0	0.209112
TRUE	M	534	4	1	0.22613
TRUE	M	534	4	2	0.059901
TRUE	M	534	4	3	0.0
TRUE	M	534	4	4	0.0
TRUE	M	534	4	5	0.0
TRUE	M	534	4	6	0.120519
TRUE	M	534	4	7	0.103563
TRUE	M	534	4	8	0.0
TRUE	M	534	4	9	0.0
TRUE	M	534	4	10	0.0
TRUE	M	534	4	11	0.146309
TRUE	M	534	5	0	0.204054
TRUE	M	534	5	1	0.208223
TRUE	M	534	5	2	0.081746
TRUE	M	534	5	3	0.0
TRUE	M	534	5	4	0.0
TRUE	M	534	5	5	0.0
TRUE	M	534	5	6	0.0
TRUE	M	534	5	7	0.0
TRUE	M	534	5	8	0.0
TRUE	M	534	5	9	0.122918
TRUE	M	534	5	10	0.0
TRUE	M	534	5	11	0.0
TRUE	M	545	0	0	0.219287
TRUE	M	545	0	1	0.161099
TRUE	M	545	0	2	0.165406
TRUE	M	545	0	3	0.0
TRUE	M	545	0	4	0.0
TRUE	M	545	0	5	0.0
TRUE	M	545	0	6	0.0
TRUE	M	545	0	7	0.0
TRUE	M	545	0	8	0.0
TRUE	M	545	0	9	0.0
TRUE	M	545	0	10	0.0
TRUE	M	545	0	11	0.0
TRUE	M	545	0	12	0.0
TRUE	M	545	0	13	0.0
TRUE	M	545	0	14	0.0
TRUE	M	545	0	15	0.0
TRUE	M	545	0	16	0.0
TRUE	M	545	0	17	0.0
TRUE	M	545	1	0	0.2281
TRUE	M	545	1	1	0.0
TRUE	M	545	1	2	0.168005
TRUE	M	545	1	3	0.0
TRUE	M	545	1	4	0.0
TRUE	M	545	1	5	0.0
TRUE	M	545	1	6	0.0
TRUE	M	545	1	7	0.0
TRUE	M	545	1	8	0.0
TRUE	M	545	1	9	0.0
TRUE	M	545	1	10	0.0
TRUE	M	545	1	11	0.0
TRUE	M	545	1	12	0.0
TRUE	M	545	1	13	0.0
TRUE	M	545	1	14	0.0
TRUE	M	545	1	15	0.0
TRUE	M	545	1	16	0.0
TRUE	M	545	1	17	0.0
TRUE	M	545	2	0	0.207195
TRUE	M	545	2	1	0.0
TRUE	M	545	2	2	0.0
TRUE	M	545	2	3	0.178241
TRUE	M	545	2	4	0.0
TRUE	M	545	2	5	0.0
TRUE	M	545	2	6	0.0
TRUE	M	545	2	7	0.0
TRUE	M	545	2	8	0.0
TRUE	M	545	2	9	0.0
TRUE	M	545	2	10	0.0
TRUE	M	545	2	11	0.0
TRUE	M	545	2	12	0.0
TRUE	M	545	2	13	0.0
TRUE	M	545	2	14	0.0
TRUE	M	545	2	15	0.0
TRUE	M	545	2	16	0.0
TRUE	M	545	2	17	0.121384
TRUE	M	545	3	0	0.223668
TRUE	M	545	3	1	0.0
TRUE	M	545	3	2	0.213313
TRUE	M	545	3	3	0.0
TRUE	M	545	3	4	0.146416
TRUE	M	545	3	5	0.098517
TRUE	M	545	3	6	0.0
TRUE	M	545	3	7	0.0
TRUE	M	545	3	8	0.0
TRUE	M	545	3	9	0.0
TRUE	M	545	3	10	0.0
TRUE	M	545	3	11	0.0
TRUE	M	545	3	12	0.0
TRUE	M	545	3	13	0.0
TRUE	M	545	3	14	0.0
TRUE	M	545	3	15	0.0569397
TRUE	M	545	3	16	0.074395
TRUE	M	545	3	17	0.0
TRUE	M	545	4	0	0.20071
TRUE	M	545	4	1	0.0
TRUE	M	545	4	2	0.0
TRUE	M	545	4	3	0.0
TRUE	M	545	4	4	0.0
TRUE	M	545	4	5	0.0
TRUE	M	545	4	6	0.192699
TRUE	M	545	4	7	0.202512
TRUE	M	545	4	8	0.174725
TRUE	M	545	4	9	0.195315
TRUE	M	545	4	10	0.0
TRUE	M	545	4	11	0.0
TRUE	M	545	4	12	0.0
TRUE	M	545	4	13	0.0
TRUE	M	545	4	14	0.105407
TRUE	M	545	4	15	0.0
TRUE	M	545	4	16	0.0
TRUE	M	545	4	17	0.0
TRUE	M	545	5	0	0.214987
TRUE	M	545	5	1	0.0
TRUE	M	545	5	2	0.0
TRUE	M	545	5	3	0.0
TRUE	M	545	5	4	0.0
TRUE	M	545	5	5	0.0
TRUE	M	545	5	6	0.0
TRUE	M	545	5	7	0.0
TRUE	M	545	5	8	0.0
TRUE	M	545	5	9	0.0
TRUE	M	545	5	10	0.192133
TRUE	M	545	5	11	0.0
TRUE	M	545	5	12	0.076102
TRUE	M	545	5	13	0.092403
TRUE	M	545	5	14	0.0
TRUE	M	545	5	15	0.0
TRUE	M	545	5	16	0.0
TRUE	M	545	5	17	0.112254
TRUE	M	545	6	0	0.220037
TRUE	M	545	6	1	0.0
TRUE	M	545	6	2	0.0
TRUE	M	545	6	3	0.0
TRUE	M	545	6	4	0.0
TRUE	M	545	6	5	0.0
TRUE	M	545	6	6	0.208333
TRUE	M	545	6	7	0.0
TRUE	M	545	6	8	0.0
TRUE	M	545	6	9	0.0
TRUE	M	545	6	10	0.0
TRUE	M	545	6	11	0.152392
TRUE	M	545	6	12	0.0
TRUE	M	545	6	13	0.0
TRUE	M	545	6	14	0.107069
TRUE	M	545	6	15	0.0
TRUE	M	545	6	16	0.0
TRUE	M	545	6	17	0.0
TRUE	M	565	0	0	0.209712
TRUE	M	565	0	1	0.222415
TRUE	M	565	0	2	0.07572
TRUE	M	565	0	3	0.219223
TRUE	M	565	0	4	0.0
TRUE	M	565	0	5	0.0
TRUE	M	565	0	6	0.0
TRUE	M	565	0	7	0.0
TRUE	M	565	0	8	0.0
TRUE	M	565	0	9	0.0
TRUE	M	565	0	10	0.0
TRUE	M	565	0	11	0.0
TRUE	M	565	0	12	0.0
TRUE	M	565	0	13	0.0
TRUE	M	565	0	14	0.0
TRUE	M	565	1	0	0.206738
TRUE	M	565	1	1	0.216086
TRUE	M	565	1	2	0.07402
TRUE	M	565	1	3	0.208261
TRUE	M	565	1	4	0.0
TRUE	M	565	1	5	0.0
TRUE	M	565	1	6	0.0
TRUE	M	565	1	7	0.0
TRUE	M	565	1	8	0.0
TRUE	M	565	1	9	0.0
TRUE	M	565	1	10	0.0
TRUE	M	565	1	11	0.0
TRUE	M	565	1	12	0.0
TRUE	M	565	1	13	0.0
TRUE	M	565	1	14	0.0
TRUE	M	565	2	0	0.214442
TRUE	M	565	2	1	0.152176
TRUE	M	565	2	2	0.051596
TRUE	M	565	2	3	0.0
TRUE	M	565	2	4	0.147063
TRUE	M	565	2	5	0.220065
TRUE	M	565	2	6	0.0
TRUE	M	565	2	7	0.0
TRUE	M	565	2	8	0.0
TRUE	M	565	2	9	0.0
TRUE	M	565	2	10	0.0
TRUE	M	565	2	11	0.0
TRUE	M	565	2	12	0.0
TRUE	M	565	2	13	0.0961364
TRUE	M	565	2	14	0.081942
TRUE	M	565	3	0	0.233562
TRUE	M	565	3	1	0.199639
TRUE	M	565	3	2	0.076415
TRUE	M	565	3	3	0.0
TRUE	M	565	3	4	0.0
TRUE	M	565	3	5	0.0
TRUE	M	565	3	6	0.148696
TRUE	M	565	3	7	0.0
TRUE	M	565	3	8	0.0
TRUE	M	565	3	9	0.0
TRUE	M	565	3	10	0.0
TRUE	M	565	3	11	0.0
TRUE	M	565	3	12	0.211295
TRUE	M	565	3	13	0.0
TRUE	M	565	3	14	0.0
TRUE	M	565	4	0	0.214913
TRUE	M	565	4	1	0.175973
TRUE	M	565	4	2	0.061903
TRUE	M	565	4	3	0.0
TRUE	M	565	4	4	0.180216
TRUE	M	565	4	5	0.0
TRUE	M	565	4	6	0.0
TRUE	M	565	4	7	0.181002
TRUE	M	565	4	8	0.1455404
TRUE	M	565	4	9	0.094023
TRUE	M	565	4	10	0.0
TRUE	M	565	4	11	0.178561
TRUE	M	565	4	12	0.0
TRUE	M	565	4	13	0.0
TRUE	M	565	4	14	0.078487
TRUE	M	565	5	0	0.213831
TRUE	M	565	5	1	0.209026
TRUE	M	565	5	2	0.076863
TRUE	M	565	5	3	0.0
TRUE	M	565	5	4	0.0
TRUE	M	565	5	5	0.0
TRUE	M	565	5	6	0.0
TRUE	M	565	5	7	0.0
TRUE	M	565	5	8	0.0
TRUE	M	565	5	9	0.0
TRUE	M	565	5	10	0.121667
TRUE	M	565	5	11	0.0
TRUE	M	565	5	12	0.0
TRUE	M	565	5	13	0.0
TRUE	M	565	5	14	0.0
TRUE	M	694	0	0	0.217195
TRUE	M	694	0	1	0.124547
TRUE	M	694	0	2	0.063087
TRUE	M	694	0	3	0.157203
TRUE	M	694	0	4	0.10967
TRUE	M	694	0	5	0.0
TRUE	M	694	0	6	0.0
TRUE	M	694	0	7	0.0
TRUE	M	694	0	8	0.0
TRUE	M	694	0	9	0.0
TRUE	M	694	0	10	0.0
TRUE	M	694	0	11	0.0
TRUE	M	694	0	12	0.0
TRUE	M	694	0	13	0.0
TRUE	M	694	0	14	0.0
TRUE	M	694	0	15	0.0
TRUE	M	694	0	16	0.0
TRUE	M	694	1	0	0.215531
TRUE	M	694	1	1	0.0
TRUE	M	694	1	2	0.064791
TRUE	M	694	1	3	0.216299
TRUE	M	694	1	4	0.157094
TRUE	M	694	1	5	0.0
TRUE	M	694	1	6	0.0
TRUE	M	694	1	7	0.0
TRUE	M	694	1	8	0.0
TRUE	M	694	1	9	0.0
TRUE	M	694	1	10	0.0
TRUE	M	694	1	11	0.0
TRUE	M	694	1	12	0.0
TRUE	M	694	1	13	0.0
TRUE	M	694	1	14	0.0
TRUE	M	694	1	15	0.0
TRUE	M	694	1	16	0.0
TRUE	M	694	2	0	0.223506
TRUE	M	694	2	1	0.141857
TRUE	M	694	2	2	0.057999
TRUE	M	694	2	3	0.0
TRUE	M	694	2	4	0.0
TRUE	M	694	2	5	0.1274068
TRUE	M	694	2	6	0.187811
TRUE	M	694	2	7	0.0
TRUE	M	694	2	8	0.0
TRUE	M	694	2	9	0.0
TRUE	M	694	2	10	0.0
TRUE	M	694	2	11	0.0
TRUE	M	694	2	12	0.0
TRUE	M	694	2	13	0.0
TRUE	M	694	2	14	0.0
TRUE	M	694	2	15	0.138125
TRUE	M	694	2	16	0.082538
TRUE	M	694	3	0	0.223059
TRUE	M	694	3	1	0.127568
TRUE	M	694	3	2	0.063467
TRUE	M	694	3	3	0.0
TRUE	M	694	3	4	0.0
TRUE	M	694	3	5	0.150522
TRUE	M	694	3	6	0.0
TRUE	M	694	3	7	0.127182
TRUE	M	694	3	8	0.0
TRUE	M	694	3	9	0.0
TRUE	M	694	3	10	0.0
TRUE	M	694	3	11	0.0
TRUE	M	694	3	12	0.0
TRUE	M	694	3	13	0.098815
TRUE	M	694	3	14	0.0
TRUE	M	694	3	15	0.0
TRUE	M	694	3	16	0.069592
TRUE	M	694	4	0	0.208148
TRUE	M	694	4	1	0.149201
TRUE	M	694	4	2	0.0
TRUE	M	694	4	3	0.0
TRUE	M	694	4	4	0.0
TRUE	M	694	4	5	0.0
TRUE	M	694	4	6	0.0
TRUE	M	694	4	7	0.0
TRUE	M	694	4	8	0.204283
TRUE	M	694	4	9	0.123882
TRUE	M	694	4	10	0.0
TRUE	M	694	4	11	0.0
TRUE	M	694	4	12	0.151101
TRUE	M	694	4	13	0.0
TRUE	M	694	4	14	0.0
TRUE	M	694	4	15	0.0
TRUE	M	694	4	16	0.090035
TRUE	M	694	5	0	0.210712
TRUE	M	694	5	1	0.0
TRUE	M	694	5	2	0.063363
TRUE	M	694	5	3	0.221096
TRUE	M	694	5	4	0.0
TRUE	M	694	5	5	0.0
TRUE	M	694	5	6	0.0
TRUE	M	694	5	7	0.0
TRUE	M	694	5	8	0.0
TRUE	M	694	5	9	0.0
TRUE	M	694	5	10	0.0883263
TRUE	M	694	5	11	0.198543
TRUE	M	694	5	12	0.0
TRUE	M	694	5	13	0.0
TRUE	M	694	5	14	0.234182
TRUE	M	694	5	15	0.0
TRUE	M	694	5	16	0.0
TRUE	M	76	0	0	0.121284
TRUE	M	76	0	1	0.182097
TRUE	M	76	0	2	0.052229
TRUE	M	76	0	3	0.1402535
TRUE	M	76	0	4	0.0452028
TRUE	M	76	0	5	0.0
TRUE	M	76	0	6	0.0
TRUE	M	76	0	7	0.0
TRUE	M	76	0	8	0.0
TRUE	M	76	0	9	0.0
TRUE	M	76	0	10	0.0
TRUE	M	76	0	11	0.0
TRUE	M	76	0	12	0.0
TRUE	M	76	0	13	0.0
TRUE	M	76	0	14	0.0
TRUE	M	76	0	15	0.0
TRUE	M	76	0	16	0.0
TRUE	M	76	0	17	0.0
TRUE	M	76	1	0	0.12412
TRUE	M	76	1	1	0.0
TRUE	M	76	1	2	0.0
TRUE	M	76	1	3	0.207005
TRUE	M	76	1	4	0.082996
TRUE	M	76	1	5	0.0970908
TRUE	M	76	1	6	0.0
TRUE	M	76	1	7	0.0
TRUE	M	76	1	8	0.0
TRUE	M	76	1	9	0.0
TRUE	M	76	1	10	0.0
TRUE	M	76	1	11	0.0
TRUE	M	76	1	12	0.0
TRUE	M	76	1	13	0.0
TRUE	M	76	1	14	0.0
TRUE	M	76	1	15	0.0
TRUE	M	76	1	16	0.0
TRUE	M	76	1	17	0.0
TRUE	M	76	2	0	0.120552
TRUE	M	76	2	1	0.0
TRUE	M	76	2	2	0.0
TRUE	M	76	2	3	0.20529
TRUE	M	76	2	4	0.079709
TRUE	M	76	2	5	0.0
