Clone tree has 9 anatomical sites
Found 128 maximum parsimony labelings with primary 'P'
Found 128 labelings with 9 comigrations, 3 seeding sites and pM
Labeling 80: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 81: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 82: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 83: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 84: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 85: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 86: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 87: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 88: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 89: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 90: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 91: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 92: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 93: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 94: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 95: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 96: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 97: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 98: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 99: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 100: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 101: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 102: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 103: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 104: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 105: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 106: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 107: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 108: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 109: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 110: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 111: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 112: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 113: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 114: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 115: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 116: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 117: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 118: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 119: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 120: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 121: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 122: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 123: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 124: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 125: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 126: 13 migrations, 9 comigrations, 3 seeding sites and pM
Labeling 127: 13 migrations, 9 comigrations, 3 seeding sites and pM
